scenario,total_market_cap0_bn,total_dcf_ev_bn,aggregate_fair_value_to_market,aggregate_market_to_fair_value,total_revenue0_bn,total_revenue5_bn,total_revenue10_bn,total_revenue20_bn,revenue_cagr_5y,revenue_cagr_10y,revenue_cagr_20y,total_fcf5_bn,total_fcf10_bn,total_fcf20_bn,fcf_margin5,fcf_margin10,fcf_margin20,total_capex5_bn,capex_to_revenue5,roic20,multiple_value_y5_bn,multiple_value_y10_bn,price_target_ratio_5y_vs_market0,price_target_ratio_10y_vs_market0,terminal_compute_utilization,avg_utilization_5y,avg_overcapacity_5y,terminal_enterprise_adoption,terminal_consumer_adoption,terminal_token_volume_index,terminal_price_index,terminal_compute_demand_index,terminal_compute_capacity_index,avg_net_productivity_benefit_5y,terminal_enterprise_roi,initial_quality_score_weighted,initial_low_quality_revenue_share_weighted,contract_lag_ratio_y3,onsite_net_delta_vs_grid_bn,prob_rapid_dotcom_style_burst,prob_gradual_valuation_deflation,prob_japan_style_prolonged_stagnation,prob_productivity_led_expansion,prob_bubble_score_diagnostic
sens_china_price_compression_0.1,10620.0,11357.06036368439,1.0694030474279086,0.9351011317998069,880.0,2689.758086384773,6833.574704293397,18556.988600321554,0.25039177983289784,0.22748594325087002,0.16466558193685943,233.9807403621786,429.8236452605723,-1606.8017547249206,0.08698951089563056,0.06289879950979722,-0.08658741939934575,640.2309611234047,0.23802548056800188,0.11624378021687791,46850.874357918925,105091.59908248203,4.411570090199522,9.895630798727122,0.9334142732819077,0.891414249945505,0.0,0.5690068341538572,0.8426149400769496,8597.020654493122,0.0087201558937421,88.96824937144004,95.3148584911022,-0.002947349641680229,-0.4716908103227348,0.763528409090909,0.11113636363636363,-0.05916985194171804,-0.5553321250000001,0.19154568143656575,0.3854935997370378,0.18444714403114462,0.23851357479525184,0.07917045454545454
sens_china_price_compression_0.25,10620.0,8542.15988255475,0.8043465049486582,1.2432452852689782,880.0,2596.3455867836274,6324.988988678624,15557.2386435742,0.24158359411643615,0.21802922897983312,0.15444299295930253,211.71678768393144,331.71234087849484,-2186.2150338098113,0.08154414757482567,0.05244473017616969,-0.1405271901972662,629.3471044391513,0.2423972785605907,0.09756944348744424,42083.74942222795,90072.74975098291,3.9626882695129897,8.481426530224379,1.0,1.0,0.0,0.5746728978436786,0.8436913705754332,13295.025159492645,0.00530151424294437,124.08212024016686,95.3148584911022,-0.0028233404060987568,-0.46212451031665486,0.763528409090909,0.11113636363636363,-0.052048153732737565,-0.5553321250000001,0.27058949897034706,0.38404686313046804,0.1575214655231466,0.18784217237603823,0.152144040126148
sens_china_price_compression_0.4,10620.0,6230.276883054463,0.5866550737339419,1.70457913818967,880.0,2507.4209113008196,5861.079464175944,13079.482503301419,0.23295979254982102,0.208786201297269,0.14447258638183902,191.0618776302184,243.95064736910342,-2648.831379811047,0.07619856593247354,0.0416221361372384,-0.20251805674593396,618.9375192805031,0.246842289816992,0.08163988112300634,37581.27192920807,76930.81700101895,3.5387261703585757,7.243956403109129,1.0,1.0,0.0,0.579592980240594,0.8446190530248512,20797.993266350448,0.003182441216170168,175.52948191008738,95.3148584911022,-0.002736496894168018,-0.4552447983323258,0.763528409090909,0.11113636363636363,-0.044697313187612525,-0.5553321250000001,0.4520914301241498,0.32192564133979057,0.10791230161326104,0.11807062692279847,0.29054419600235554
sens_china_price_compression_0.6,10620.0,3776.585746821672,0.3556107106235096,2.8120637824621517,880.0,2395.4637094105206,5304.099140952285,10430.049082837577,0.22174729099505486,0.19677606825706562,0.13159282214448464,165.70495849952013,140.99489958528795,-3122.559647558658,0.06917448085251814,0.026582251922231997,-0.2993811076782719,605.7630913766304,0.2528792604942855,0.0641419156144876,32066.199499729315,61722.51067751016,3.0194161487504063,5.811912493174215,1.0,1.0,0.0,0.5851697209511758,0.845657525125913,38511.07523671302,0.001578189550875272,285.66783061764306,95.3148584911022,-0.0026595619731840095,-0.44891022701544964,0.763528409090909,0.11113636363636363,-0.0345226625869705,-0.5553321250000001,0.8396891838871177,0.11054002399106587,0.025244785744094687,0.024526006377721878,0.6227895892841001
sens_china_price_compression_0.8,10620.0,1876.8116237302668,0.1767242583550157,5.658532729508656,880.0,2290.635141633608,4809.223085147022,8371.368352339308,0.21086199799035787,0.18511153459882745,0.11922058441621886,142.5871789587736,52.11850018667868,-3470.8510282826965,0.06224787892544291,0.010837197456621078,-0.414609760579081,593.3573108798836,0.25903615119460716,0.05027585268509455,27138.239630008356,49104.85503703353,2.5553897956693366,4.623809325521048,1.0,1.0,0.0,0.5898248228095795,0.8465049748787381,73066.48106496797,0.0007629331442002944,479.6871726929535,95.3148584911022,-0.0026111180936062095,-0.4446571539655975,0.763528409090909,0.11113636363636363,-0.023898421615683476,-0.5553321250000001,0.998081641410222,0.0016111568921175173,0.0001648145967554301,0.00014238710090503235,1.4767302733980514
